IC05	IC08	IC09	IC15	IC16	IC17	IC18	IC19	IC20	IC23	IC24	IC26	IC27	IC29	IC31	IC33	IC36	IC37	IC38	IC41	IC42	IC43	IC44	IC45	IC46	IC47	IC48	IC49	IC50	IC51	IC54	IC56	IC58	IC60	IC62	IC63	IC64	IC65	IC66	IC67	IC68	IC69	IC71	IC72	IC73	IC74	IC75	IC76	IC77
-0.0368	0.1670	0.3967	0.9087	0.0766	-0.0039	-0.5414	-0.4107	-0.9725	0.9044	0.2419	-0.3619	0.0881	-0.8209	0.1100	0.2883	-0.2149	-0.3127	-0.9746	-0.6307	-0.4681	0.2612	0.5999	0.5229	-0.2404	0.7128	0.3906	-0.4933	-0.8755	0.1140	-0.4528	-1.0541	0.0376	-0.7189	-0.0244	-0.3095	0.6540	0.1546	-0.0563	-0.7625	1.5927	0.7476	0.5473	-0.6565	0.4712	0.1641	0.4722	0.3248	-0.0940
-0.1593	-0.2583	0.8022	0.8785	-0.3540	-0.3287	-0.4993	-0.2154	-0.0842	0.8730	0.3313	-0.6384	0.6591	-0.7307	0.1149	-0.1199	0.2093	-0.2987	-0.5566	-0.3729	-0.6313	-0.1040	0.1639	0.7343	-0.7491	-0.5321	1.0148	-0.6113	-0.6579	0.9237	-0.4097	0.1318	-0.1974	-0.3967	0.4328	-0.2263	1.2332	-0.5292	-1.1553	-0.5199	0.0473	1.0337	-0.1247	-0.6520	-0.3576	-1.2775	-0.2168	0.5360	-0.3762
-0.6712	-0.7308	0.2066	-0.2986	-0.9338	-0.4188	-0.3446	-1.2152	-1.1878	0.3133	0.1316	-0.6201	-0.3443	-0.5234	-0.7399	-0.6550	-0.7699	0.0853	-0.7452	-0.4996	-0.7447	0.1706	-0.2673	0.0607	-1.8133	-0.8750	0.3064	-1.3687	-1.1827	-0.7384	-0.9914	-0.0776	-1.0517	-0.3241	0.1222	0.2811	0.6421	-1.3801	-1.1185	-0.7520	0.0559	-0.3151	-0.1908	-1.1861	-0.2182	-1.2409	-0.3251	-0.4682	-0.9835
-0.2121	-1.1991	0.0311	-0.2568	-0.9546	-0.1197	-0.5399	-0.8106	-0.1166	-0.8109	-0.8716	-0.9435	-0.1564	0.1722	-0.7580	-0.8185	0.1467	-0.1522	-0.1925	-0.2228	-0.3534	-0.2554	-0.4900	-1.2865	-0.9308	-0.6559	-0.6334	-0.1994	-0.6018	-0.3072	-1.2816	-0.8998	-0.8351	-1.0461	-0.0915	0.2066	-0.7644	-1.4158	-0.5332	0.2219	-1.0272	0.1515	-0.4045	-1.4741	-0.5158	-1.3291	-1.8238	0.2715	-1.0077
-0.3356	-0.6659	-0.3250	-0.0627	-0.2181	-0.0064	-0.1233	-0.6832	0.5318	-0.6455	0.1073	-0.0503	0.1771	-0.3437	0.0392	-0.7814	-0.5415	-0.6441	-0.1874	-0.3053	-0.2722	-0.3693	-0.1451	-0.4761	-0.2628	-0.1862	-0.6600	-0.6162	0.4569	0.7742	0.5283	0.0182	-0.3809	-0.8383	0.5914	-0.6496	-1.0335	-0.2772	-0.9982	0.5758	-0.7036	-0.0759	-0.2106	-0.2337	-1.3109	-0.3310	-0.9533	0.1592	-0.8606
0.5101	-1.1252	-0.4042	0.1570	0.2175	0.3230	-0.1669	-0.6936	0.1483	-0.6987	-0.8141	0.1849	0.4959	0.5240	-0.3454	-0.1911	-1.4675	-0.6689	0.6292	-0.4752	-0.3997	0.0897	-0.9118	-0.4649	-0.6862	0.6341	-0.9634	-0.9080	0.8419	-0.1284	0.1233	0.2121	0.2222	-0.5893	0.8824	-1.3641	-0.8237	-1.6153	-1.5373	-0.5800	-1.8130	-0.5807	-1.1378	0.5108	-1.3140	-0.3446	-0.3797	-0.8589	-0.7848
0.7603	-0.5783	-0.3082	0.4388	0.4368	-0.0796	0.7109	-0.5580	1.7240	-0.6550	0.1277	0.8031	-0.0008	0.1742	0.3228	-0.3070	-1.1447	-0.9025	1.0589	-0.1401	-0.6650	-0.8364	0.2454	-0.7781	-0.2701	-0.2424	-1.4059	-0.4340	2.0302	-0.5254	1.4085	0.2135	0.6333	0.0975	0.8407	-1.9469	-1.4575	0.7165	-0.9282	0.7920	-0.6544	-0.9537	-0.1307	1.0218	-2.2204	-0.5797	-0.5792	-1.0231	-0.9431
-1.5338	-1.1373	-0.3488	1.4019	1.2723	0.4021	-0.7922	-0.8731	1.8474	-1.1461	0.5714	0.4993	-0.0852	0.1143	0.6234	0.7717	-1.1175	-0.6821	1.9728	-0.0341	-0.6906	0.4985	0.8348	-0.4428	0.2133	0.6185	-0.0111	0.0734	1.8932	-0.4555	1.9335	0.1223	0.7220	-0.1265	1.4515	-0.3835	-0.9252	-0.4764	-1.8424	0.5126	-0.1674	-1.1114	-0.4485	1.0874	-0.4534	-0.3255	0.8559	0.4205	-1.3458
-0.1732	-0.4357	-0.3138	-0.1618	0.7759	0.5371	-0.5267	-0.7574	1.2678	-0.2893	0.9927	1.0463	0.4259	0.5751	0.3239	0.1380	-1.6919	-0.4757	0.5412	0.8678	-0.6820	-0.0750	0.0523	-0.4397	-0.1021	0.6524	-0.2177	0.4425	0.9017	-0.3414	0.6094	0.9397	0.5393	0.7723	0.2468	-0.2516	-0.2559	0.3071	-0.8211	1.1723	-0.1802	-1.7454	0.1955	0.5381	-1.1741	0.2834	0.1426	0.7729	-0.5911
0.2003	0.1157	0.6813	0.3356	-0.1952	1.4065	0.2627	0.1589	-0.0647	-0.0056	-0.1627	-0.5354	0.7862	0.8608	0.3350	0.9412	-0.4622	0.7878	0.0993	0.3914	0.5135	1.1726	-0.4870	0.0065	0.1017	1.2278	0.5875	0.7511	0.2361	0.2572	-0.2684	-0.2861	0.6214	0.1888	0.0848	0.8517	0.2942	-0.7514	0.4940	0.5795	-0.0131	-0.8240	0.1312	-0.3272	0.2719	0.3735	0.9865	0.9958	0.2751
