IC05	IC08	IC09	IC15	IC16	IC17	IC18	IC19	IC20	IC23	IC24	IC26	IC27	IC29	IC31	IC33	IC36	IC37	IC38	IC41	IC42	IC43	IC44	IC45	IC46	IC47	IC48	IC49	IC50	IC51	IC54	IC56	IC58	IC60	IC62	IC63	IC64	IC65	IC66	IC67	IC68	IC69	IC71	IC72	IC73	IC74	IC75	IC76	IC77
-0.3256	0.0638	0.5298	-0.4903	0.5995	0.1693	1.1744	0.6904	0.2886	0.2363	0.1830	2.5798	0.0015	-0.7792	1.9016	0.1799	1.7812	2.5396	0.1552	0.6752	-0.4765	1.1656	0.6724	-0.2424	2.8272	1.7067	-0.3875	0.7896	-0.9484	-1.5944	0.7095	1.2110	1.3241	0.5125	-1.1732	1.8452	-0.5050	0.6142	-0.3689	0.6624	0.3859	-0.4084	1.0119	0.3313	0.0625	0.9018	0.0398	-0.2372	0.4152
0.0929	0.6080	-0.0929	1.0164	0.5929	2.1025	-0.2392	1.5398	-0.1148	-0.8746	0.5235	0.7684	0.7591	-0.1572	1.2116	-0.2995	1.0769	2.0868	-0.5809	0.1200	0.7940	0.5874	0.9138	-0.8465	1.3275	0.5594	1.5563	1.6470	-0.3449	-0.0427	-0.4398	1.0671	0.0346	0.8919	0.2580	1.9532	0.0696	-0.5928	-0.4857	0.6501	1.0350	-0.0944	0.8467	0.5164	1.4004	0.8774	-0.1522	-0.5096	0.2961
1.0340	1.4085	-0.7104	0.0193	-0.5166	0.2400	-0.0118	1.6999	1.5417	-0.6284	0.6311	1.0432	-0.7187	0.4136	-0.7043	0.0361	-0.4870	0.6990	-1.8402	0.4489	-1.4666	-0.4316	0.5529	0.9631	-0.1048	0.8273	0.5186	1.4954	-0.4328	0.8409	-0.8504	0.2260	0.7443	0.7376	-0.6883	-0.6658	2.0023	0.1978	-0.6004	-1.1244	0.6365	0.6699	1.5082	-0.0260	0.0477	1.2369	-0.6040	0.2180	0.2350
0.4295	0.0146	-0.0293	-0.9805	-0.6093	1.0956	1.3842	0.3318	0.3299	1.6379	0.0730	0.9638	0.0653	-0.0125	-0.2507	-0.4749	-1.0506	0.9764	0.1615	0.0083	-1.4231	0.5820	0.6977	0.8103	-0.0952	0.1934	0.8092	1.4861	-1.1321	0.9270	-0.9722	0.1907	-0.1260	-0.2978	-0.4704	0.0957	0.2716	0.6978	-0.3162	-0.9572	1.1511	0.0888	0.9093	-0.3917	-1.2162	0.1349	0.4218	0.8737	0.6287
-0.0843	-0.6444	-0.2547	0.5497	-1.0270	0.8053	-0.4316	0.3209	-0.8343	0.4237	-1.1996	-0.5486	-0.0836	0.3313	-0.4262	0.3073	-0.0593	0.8151	0.4138	-1.1993	1.7919	0.4095	-0.0909	0.5169	-0.0318	-1.7489	0.6827	0.4792	-0.7113	-0.0269	-1.4717	0.2423	-0.0755	-0.9769	-0.4949	-0.0643	-0.0496	-1.3143	-0.3411	-0.4843	1.4266	0.9801	0.0801	-0.8231	0.7941	0.9868	0.1933	-0.8096	-0.3755
0.6036	-0.8647	-0.9422	-0.1059	-1.2281	-1.1445	-0.2723	1.3944	1.1679	0.0560	0.1138	0.5466	-2.1101	0.1168	-0.0239	-0.8386	-0.2841	-0.5964	0.1384	-0.9716	0.5937	-1.0833	0.2193	-0.5526	-0.9135	-0.1257	-2.1289	-1.0408	0.0024	-0.3022	-0.2121	-0.7839	-0.1860	-0.1818	-0.9970	-1.3000	1.2125	0.9793	-0.8942	-0.2032	0.0691	-1.0670	1.3691	-1.0446	0.1527	1.5931	1.5203	-0.6978	0.5451
-0.0226	-2.2672	-0.9167	-1.2150	-1.6266	0.5223	0.1511	0.5552	-0.2741	0.3403	-1.1320	0.0575	-0.9475	-0.5094	-0.2983	-0.2140	-0.8152	-0.6371	0.8273	-1.3610	0.5914	-1.2230	-0.8058	-0.8575	-0.9769	-1.6021	-0.5399	-0.7223	0.6085	0.5102	0.1635	-2.2175	-1.2037	-0.5846	1.0296	0.2911	0.5145	0.7273	-0.5149	-0.7844	-0.2815	-1.3470	0.4562	-1.0746	0.0008	-0.3939	0.3440	-0.4295	-0.3756
0.3608	-0.5176	-0.5192	-1.8316	-0.8092	-0.5773	0.0314	0.5221	-0.3999	-1.2568	-0.5219	0.4087	-1.3020	0.3591	-1.2443	1.0248	-1.3653	-0.8964	-0.1767	-0.0563	1.2828	-1.3049	-0.5901	0.0287	-1.0381	-1.0092	-0.4230	-0.9140	0.4483	-0.7846	0.9334	-0.6369	-0.6730	-0.5531	0.4136	-0.1160	1.0562	-0.8486	0.3392	-0.5636	-0.8486	-0.1357	0.1826	-0.7550	-0.6386	-0.4958	0.2899	-0.8241	-0.6807
0.7302	-0.1062	-0.5848	-0.9652	-0.3659	-0.6489	0.3674	0.1651	-0.0641	-1.2637	-0.7102	-0.5244	-0.5026	1.3460	-0.7282	-0.5720	0.3227	-0.6036	0.2615	-0.6860	0.1243	-0.9470	-0.0859	-0.3912	-1.4259	-0.7449	-0.2903	-1.5186	0.8138	-0.9815	-0.3116	-0.6151	-1.0218	-0.6291	0.4231	-0.2008	-0.4702	-1.1381	-0.3396	-0.7581	-0.9716	-0.7923	-1.2497	0.2898	-1.1588	-0.2033	1.2222	0.5191	0.0645
0.8944	-0.4764	-0.7441	-0.6547	-0.8666	0.4742	0.4195	-0.0926	-0.2156	-0.8366	-0.2833	-0.5168	0.8879	0.3877	-1.4948	-0.1203	-1.3691	-1.0697	-0.2952	-0.0692	-0.7686	-1.1880	-2.0040	-1.2051	-0.9432	-0.8530	-0.6599	-0.3700	-0.7719	-0.3917	-0.3754	-1.6976	-0.0601	-0.8407	0.8202	0.0496	0.1904	-0.4932	-0.8190	-1.0163	-0.1656	-1.7012	-1.4100	0.4834	-0.5189	-0.6678	0.1903	-0.0491	-0.0350
